sepal_length,sepal_width,petal_length,petal_width,species,petal_length-prediction
5.1,3.5,1.4,0.2,0,1.5295461318748842
4.9,3.0,1.4,0.2,0,1.5295461318748842
4.7,3.2,1.3,0.2,0,1.5295461318748842
4.6,3.1,1.5,0.2,0,1.5295461318748842
5.0,3.6,1.4,0.2,0,1.5295461318748842
5.4,3.9,1.7,0.4,0,1.975534230899257
4.6,3.4,1.4,0.3,0,1.7525401813870705
5.0,3.4,1.5,0.2,0,1.5295461318748842
4.4,2.9,1.4,0.2,0,1.5295461318748842
4.9,3.1,1.5,0.1,0,1.306552082362698
5.4,3.7,1.5,0.2,0,1.5295461318748842
4.8,3.4,1.6,0.2,0,1.5295461318748842
4.8,3.0,1.4,0.1,0,1.306552082362698
4.3,3.0,1.1,0.1,0,1.306552082362698
5.8,4.0,1.2,0.2,0,1.5295461318748842
5.7,4.4,1.5,0.4,0,1.975534230899257
5.4,3.9,1.3,0.4,0,1.975534230899257
5.1,3.5,1.4,0.3,0,1.7525401813870705
5.7,3.8,1.7,0.3,0,1.7525401813870705
5.1,3.8,1.5,0.3,0,1.7525401813870705
5.4,3.4,1.7,0.2,0,1.5295461318748842
5.1,3.7,1.5,0.4,0,1.975534230899257
4.6,3.6,1.0,0.2,0,1.5295461318748842
5.1,3.3,1.7,0.5,0,2.198528280411443
4.8,3.4,1.9,0.2,0,1.5295461318748842
5.0,3.0,1.6,0.2,0,1.5295461318748842
5.0,3.4,1.6,0.4,0,1.975534230899257
5.2,3.5,1.5,0.2,0,1.5295461318748842
5.2,3.4,1.4,0.2,0,1.5295461318748842
4.7,3.2,1.6,0.2,0,1.5295461318748842
4.8,3.1,1.6,0.2,0,1.5295461318748842
5.4,3.4,1.5,0.4,0,1.975534230899257
5.2,4.1,1.5,0.1,0,1.306552082362698
5.5,4.2,1.4,0.2,0,1.5295461318748842
4.9,3.1,1.5,0.2,0,1.5295461318748842
5.0,3.2,1.2,0.2,0,1.5295461318748842
5.5,3.5,1.3,0.2,0,1.5295461318748842
4.9,3.6,1.4,0.1,0,1.306552082362698
4.4,3.0,1.3,0.2,0,1.5295461318748842
5.1,3.4,1.5,0.2,0,1.5295461318748842
5.0,3.5,1.3,0.3,0,1.7525401813870705
4.5,2.3,1.3,0.3,0,1.7525401813870705
4.4,3.2,1.3,0.2,0,1.5295461318748842
5.0,3.5,1.6,0.6,0,2.4215223299236293
5.1,3.8,1.9,0.4,0,1.975534230899257
4.8,3.0,1.4,0.3,0,1.7525401813870705
5.1,3.8,1.6,0.2,0,1.5295461318748842
4.6,3.2,1.4,0.2,0,1.5295461318748842
5.3,3.7,1.5,0.2,0,1.5295461318748842
5.0,3.3,1.4,0.2,0,1.5295461318748842
7.0,3.2,4.7,1.4,2,4.205474726021119
6.4,3.2,4.5,1.5,2,4.4284687755333065
6.9,3.1,4.9,1.5,2,4.4284687755333065
5.5,2.3,4.0,1.3,2,3.982480676508934
6.5,2.8,4.6,1.5,2,4.4284687755333065
5.7,2.8,4.5,1.3,2,3.982480676508934
6.3,3.3,4.7,1.6,2,4.651462825045493
4.9,2.4,3.3,1.0,2,3.3134985279723748
6.6,2.9,4.6,1.3,2,3.982480676508934
5.2,2.7,3.9,1.4,2,4.205474726021119
5.0,2.0,3.5,1.0,2,3.3134985279723748
5.9,3.0,4.2,1.5,2,4.4284687755333065
6.0,2.2,4.0,1.0,2,3.3134985279723748
6.1,2.9,4.7,1.4,2,4.205474726021119
5.6,2.9,3.6,1.3,2,3.982480676508934
6.7,3.1,4.4,1.4,2,4.205474726021119
5.6,3.0,4.5,1.5,2,4.4284687755333065
5.8,2.7,4.1,1.0,2,3.3134985279723748
6.2,2.2,4.5,1.5,2,4.4284687755333065
5.6,2.5,3.9,1.1,2,3.5364925774845615
5.9,3.2,4.8,1.8,2,5.097450924069865
6.1,2.8,4.0,1.3,2,3.982480676508934
6.3,2.5,4.9,1.5,2,4.4284687755333065
6.1,2.8,4.7,1.2,2,3.7594866269967473
6.4,2.9,4.3,1.3,2,3.982480676508934
6.6,3.0,4.4,1.4,2,4.205474726021119
6.8,2.8,4.8,1.4,2,4.205474726021119
6.7,3.0,5.0,1.7,2,4.874456874557678
6.0,2.9,4.5,1.5,2,4.4284687755333065
5.7,2.6,3.5,1.0,2,3.3134985279723748
5.5,2.4,3.8,1.1,2,3.5364925774845615
5.5,2.4,3.7,1.0,2,3.3134985279723748
5.8,2.7,3.9,1.2,2,3.7594866269967473
6.0,2.7,5.1,1.6,2,4.651462825045493
5.4,3.0,4.5,1.5,2,4.4284687755333065
6.0,3.4,4.5,1.6,2,4.651462825045493
6.7,3.1,4.7,1.5,2,4.4284687755333065
6.3,2.3,4.4,1.3,2,3.982480676508934
5.6,3.0,4.1,1.3,2,3.982480676508934
5.5,2.5,4.0,1.3,2,3.982480676508934
5.5,2.6,4.4,1.2,2,3.7594866269967473
6.1,3.0,4.6,1.4,2,4.205474726021119
5.8,2.6,4.0,1.2,2,3.7594866269967473
5.0,2.3,3.3,1.0,2,3.3134985279723748
5.6,2.7,4.2,1.3,2,3.982480676508934
5.7,3.0,4.2,1.2,2,3.7594866269967473
5.7,2.9,4.2,1.3,2,3.982480676508934
6.2,2.9,4.3,1.3,2,3.982480676508934
5.1,2.5,3.0,1.1,2,3.5364925774845615
5.7,2.8,4.1,1.3,2,3.982480676508934
6.3,3.3,6.0,2.5,1,6.658409270655169
5.8,2.7,5.1,1.9,1,5.320444973582052
7.1,3.0,5.9,2.1,1,5.766433072606424
6.3,2.9,5.6,1.8,1,5.097450924069865
6.5,3.0,5.8,2.2,1,5.989427122118611
7.6,3.0,6.6,2.1,1,5.766433072606424
4.9,2.5,4.5,1.7,1,4.874456874557678
7.3,2.9,6.3,1.8,1,5.097450924069865
6.7,2.5,5.8,1.8,1,5.097450924069865
7.2,3.6,6.1,2.5,1,6.658409270655169
6.5,3.2,5.1,2.0,1,5.543439023094238
6.4,2.7,5.3,1.9,1,5.320444973582052
6.8,3.0,5.5,2.1,1,5.766433072606424
5.7,2.5,5.0,2.0,1,5.543439023094238
5.8,2.8,5.1,2.4,1,6.435415221142983
6.4,3.2,5.3,2.3,1,6.212421171630797
6.5,3.0,5.5,1.8,1,5.097450924069865
7.7,3.8,6.7,2.2,1,5.989427122118611
7.7,2.6,6.9,2.3,1,6.212421171630797
6.0,2.2,5.0,1.5,1,4.4284687755333065
6.9,3.2,5.7,2.3,1,6.212421171630797
5.6,2.8,4.9,2.0,1,5.543439023094238
7.7,2.8,6.7,2.0,1,5.543439023094238
6.3,2.7,4.9,1.8,1,5.097450924069865
6.7,3.3,5.7,2.1,1,5.766433072606424
7.2,3.2,6.0,1.8,1,5.097450924069865
6.2,2.8,4.8,1.8,1,5.097450924069865
6.1,3.0,4.9,1.8,1,5.097450924069865
6.4,2.8,5.6,2.1,1,5.766433072606424
7.2,3.0,5.8,1.6,1,4.651462825045493
7.4,2.8,6.1,1.9,1,5.320444973582052
7.9,3.8,6.4,2.0,1,5.543439023094238
6.4,2.8,5.6,2.2,1,5.989427122118611
6.3,2.8,5.1,1.5,1,4.4284687755333065
6.1,2.6,5.6,1.4,1,4.205474726021119
7.7,3.0,6.1,2.3,1,6.212421171630797
6.3,3.4,5.6,2.4,1,6.435415221142983
6.4,3.1,5.5,1.8,1,5.097450924069865
6.0,3.0,4.8,1.8,1,5.097450924069865
6.9,3.1,5.4,2.1,1,5.766433072606424
6.7,3.1,5.6,2.4,1,6.435415221142983
6.9,3.1,5.1,2.3,1,6.212421171630797
5.8,2.7,5.1,1.9,1,5.320444973582052
6.8,3.2,5.9,2.3,1,6.212421171630797
6.7,3.3,5.7,2.5,1,6.658409270655169
6.7,3.0,5.2,2.3,1,6.212421171630797
6.3,2.5,5.0,1.9,1,5.320444973582052
6.5,3.0,5.2,2.0,1,5.543439023094238
6.2,3.4,5.4,2.3,1,6.212421171630797
5.9,3.0,5.1,1.8,1,5.097450924069865
